Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-guidanceresponses-xml,1,0,0
Cross.list-byid-healthcareservices,1,0,718
Cross.list-byid-healthcareservices-json,1,0,748
Cross.list-byid-healthcareservices-xml,1,0,742
Cross.list-byid-imagingstudies,1,0,0
Cross.list-byid-imagingstudies-json,1,1,0
Cross.list-byid-imagingstudies-xml,1,1,0
Cross.list-byid-immunizationevaluations,1,0,0
Cross.list-byid-immunizationevaluations-json,1,0,0
Cross.list-byid-immunizationevaluations-xml,1,1,0
Cross.list-byid-immunizationrecommendations,1,0,0
Cross.list-byid-immunizationrecommendations-json,1,1,0
Cross.list-byid-immunizationrecommendations-xml,1,1,0
Cross.list-byid-immunizations,1,0,620
Cross.list-byid-immunizations-json,1,1,640
Cross.list-byid-immunizations-xml,1,1,636
Cross.list-byid-implementationguides,1,1,166
Cross.list-byid-implementationguides-json,1,1,171
Cross.list-byid-implementationguides-xml,1,1,170
Cross.list-byid-insuranceplans,1,0,0
Cross.list-byid-insuranceplans-json,1,0,0
Cross.list-byid-insuranceplans-xml,1,0,0
Cross.list-byid-invoices,1,0,0
Cross.list-byid-invoices-json,1,0,0
Cross.list-byid-invoices-xml,1,1,0
Cross.list-byid-libraries,1,0,0
Cross.list-byid-libraries-json,1,0,0
Cross.list-byid-libraries-xml,1,0,0
Cross.list-byid-linkages,1,0,0
Cross.list-byid-linkages-json,1,1,0
Cross.list-byid-linkages-xml,1,1,0
Cross.list-byid-lists,1,0,524
Cross.list-byid-lists-json,1,0,544
Cross.list-byid-lists-xml,1,0,540
Cross.list-byid-locations,1,0,1106
Cross.list-byid-locations-json,1,1,1156
Cross.list-byid-locations-xml,1,1,1146
Cross.list-byid-measurereports,1,0,0
Cross.list-byid-measurereports-json,1,0,0
Cross.list-byid-measurereports-xml,1,0,0
Cross.list-byid-measures,1,0,0
Cross.list-byid-measures-json,1,1,0
Cross.list-byid-measures-xml,1,1,0
Cross.list-byid-media,1,0,0
Cross.list-byid-media-json,1,1,0
Cross.list-byid-media-xml,1,1,0
Cross.list-byid-medicationadministrations,1,0,382
Cross.list-byid-medicationadministrations-json,1,0,392
Cross.list-byid-medicationadministrations-xml,1,0,390
Cross.list-byid-medicationdispenses,1,0,346
Cross.list-byid-medicationdispenses-json,1,1,356
Cross.list-byid-medicationdispenses-xml,1,1,354
Cross.list-byid-medicationknowledges,1,0,0
Cross.list-byid-medicationknowledges-json,1,0,0
Cross.list-byid-medicationknowledges-xml,1,0,0
Cross.list-byid-medicationrequests,1,0,510
Cross.list-byid-medicationrequests-json,1,1,525
Cross.list-byid-medicationrequests-xml,1,1,522
Cross.list-byid-medications,1,0,2778
Cross.list-byid-medications-json,1,1,2853
Cross.list-byid-medications-xml,1,1,2838
Cross.list-byid-medicationstatements,1,0,528
Cross.list-byid-medicationstatements-json,1,1,543
Cross.list-byid-medicationstatements-xml,1,1,540
Cross.list-byid-medicinalproductauthorizations,1,0,0
Cross.list-byid-medicinalproductauthorizations-json,1,0,0
Cross.list-byid-medicinalproductauthorizations-xml,1,1,0
Cross.list-byid-medicinalproductcontraindications,1,0,0
Cross.list-byid-medicinalproductcontraindications-json,1,0,0
Cross.list-byid-medicinalproductcontraindications-xml,1,0,0
Cross.list-byid-medicinalproductindications,1,0,0
Cross.list-byid-medicinalproductindications-json,1,1,0
Cross.list-byid-medicinalproductindications-xml,1,1,0
Cross.list-byid-medicinalproductingredients,1,0,0
Cross.list-byid-medicinalproductingredients-json,1,1,0
Cross.list-byid-medicinalproductingredients-xml,1,1,0
Cross.list-byid-medicinalproductinteractions,1,0,0
Cross.list-byid-medicinalproductinteractions-json,1,0,0
Cross.list-byid-medicinalproductinteractions-xml,1,0,0
Cross.list-byid-medicinalproductmanufactureds,1,0,0
Cross.list-byid-medicinalproductmanufactureds-json,1,1,0
Cross.list-byid-medicinalproductmanufactureds-xml,1,1,0
Cross.list-byid-medicinalproductpackageds,1,0,0
Cross.list-byid-medicinalproductpackageds-json,1,0,0
Cross.list-byid-medicinalproductpackageds-xml,1,1,0
Cross.list-byid-medicinalproductpharmaceuticals,1,0,0
Cross.list-byid-medicinalproductpharmaceuticals-json,1,0,0
Cross.list-byid-medicinalproductpharmaceuticals-xml,1,1,0
Cross.list-byid-medicinalproducts,1,1,0
Cross.list-byid-medicinalproducts-json,1,1,0
Cross.list-byid-medicinalproducts-xml,1,1,0
Cross.list-byid-medicinalproductundesirableeffects,1,0,0
Cross.list-byid-medicinalproductundesirableeffects-json,1,1,0
Cross.list-byid-medicinalproductundesirableeffects-xml,1,1,0
Cross.list-byid-messagedefinitions,1,1,0
